displacement,cylinders,horsepower,weight,acceleration,model_year,mpg,origin_2,origin_3
250.0,6,100.0,3282,15.0,71,19.0,0,0
250.0,6,88.0,3139,14.5,71,18.0,0,0
122.0,4,86.0,2220,14.0,71,23.0,0,0
116.0,4,90.0,2123,14.0,71,28.0,1,0
79.0,4,70.0,2074,19.5,71,30.0,1,0
88.0,4,76.0,2065,14.5,71,30.0,1,0
71.0,4,65.0,1773,19.0,71,31.0,0,1
72.0,4,69.0,1613,18.0,71,35.0,0,1
97.0,4,60.0,1834,19.0,71,27.0,1,0
91.0,4,70.0,1955,20.5,71,26.0,0,0
113.0,4,95.0,2278,15.5,72,24.0,0,1
97.5,4,80.0,2126,17.0,72,25.0,0,0
97.0,4,54.0,2254,23.5,72,23.0,1,0
140.0,4,90.0,2408,19.5,72,20.0,0,0
122.0,4,86.0,2226,16.5,72,21.0,0,0
350.0,8,165.0,4274,12.0,72,13.0,0,0
400.0,8,175.0,4385,12.0,72,14.0,0,0
318.0,8,150.0,4135,13.5,72,15.0,0,0
351.0,8,153.0,4129,13.0,72,14.0,0,0
304.0,8,150.0,3672,11.5,72,17.0,0,0
429.0,8,208.0,4633,11.0,72,11.0,0,0
350.0,8,155.0,4502,13.5,72,13.0,0,0
350.0,8,160.0,4456,13.5,72,12.0,0,0
400.0,8,190.0,4422,12.5,72,13.0,0,0
70.0,3,97.0,2330,13.5,72,19.0,0,1
304.0,8,150.0,3892,12.5,72,15.0,0,0
307.0,8,130.0,4098,14.0,72,13.0,0,0
302.0,8,140.0,4294,16.0,72,13.0,0,0
318.0,8,150.0,4077,14.0,72,14.0,0,0
121.0,4,112.0,2933,14.5,72,18.0,1,0
121.0,4,76.0,2511,18.0,72,22.0,1,0
120.0,4,87.0,2979,19.5,72,21.0,1,0
96.0,4,69.0,2189,18.0,72,26.0,1,0
122.0,4,86.0,2395,16.0,72,22.0,0,0
97.0,4,92.0,2288,17.0,72,28.0,0,1
120.0,4,97.0,2506,14.5,72,23.0,0,1
98.0,4,80.0,2164,15.0,72,28.0,0,0
97.0,4,88.0,2100,16.5,72,27.0,0,1
350.0,8,175.0,4100,13.0,73,13.0,0,0
304.0,8,150.0,3672,11.5,73,14.0,0,0
350.0,8,145.0,3988,13.0,73,13.0,0,0
302.0,8,137.0,4042,14.5,73,14.0,0,0
318.0,8,150.0,3777,12.5,73,15.0,0,0
429.0,8,198.0,4952,11.5,73,12.0,0,0
400.0,8,150.0,4464,12.0,73,13.0,0,0
351.0,8,158.0,4363,13.0,73,13.0,0,0
318.0,8,150.0,4237,14.5,73,14.0,0,0
440.0,8,215.0,4735,11.0,73,13.0,0,0
455.0,8,225.0,4951,11.0,73,12.0,0,0
360.0,8,175.0,3821,11.0,73,13.0,0,0
225.0,6,105.0,3121,16.5,73,18.0,0,0
250.0,6,100.0,3278,18.0,73,16.0,0,0
232.0,6,100.0,2945,16.0,73,18.0,0,0
250.0,6,88.0,3021,16.5,73,18.0,0,0
198.0,6,95.0,2904,16.0,73,23.0,0,0
97.0,4,46.0,1950,21.0,73,26.0,1,0
400.0,8,150.0,4997,14.0,73,11.0,0,0
400.0,8,167.0,4906,12.5,73,12.0,0,0
360.0,8,170.0,4654,13.0,73,13.0,0,0
350.0,8,180.0,4499,12.5,73,12.0,0,0
232.0,6,100.0,2789,15.0,73,18.0,0,0
97.0,4,88.0,2279,19.0,73,20.0,0,1
140.0,4,72.0,2401,19.5,73,21.0,0,0
108.0,4,94.0,2379,16.5,73,22.0,0,1
70.0,3,90.0,2124,13.5,73,18.0,0,1
122.0,4,85.0,2310,18.5,73,19.0,0,0
155.0,6,107.0,2472,14.0,73,21.0,0,0
98.0,4,90.0,2265,15.5,73,26.0,1,0
350.0,8,145.0,4082,13.0,73,15.0,0,0
400.0,8,230.0,4278,9.5,73,16.0,0,0
68.0,4,49.0,1867,19.5,73,29.0,1,0
116.0,4,75.0,2158,15.5,73,24.0,1,0
114.0,4,91.0,2582,14.0,73,20.0,1,0
121.0,4,112.0,2868,15.5,73,19.0,1,0
318.0,8,150.0,3399,11.0,73,15.0,0,0
121.0,4,110.0,2660,14.0,73,24.0,1,0
156.0,6,122.0,2807,13.5,73,20.0,0,1
350.0,8,180.0,3664,11.0,73,11.0,0,0
198.0,6,95.0,3102,16.5,74,20.0,0,0
200.0,6,93.5,2875,17.0,74,21.0,0,0
232.0,6,100.0,2901,16.0,74,19.0,0,0
250.0,6,100.0,3336,17.0,74,15.0,0,0
79.0,4,67.0,1950,19.0,74,31.0,0,1
122.0,4,80.0,2451,16.5,74,26.0,0,0
71.0,4,65.0,1836,21.0,74,32.0,0,1
140.0,4,75.0,2542,17.0,74,25.0,0,0
250.0,6,100.0,3781,17.0,74,16.0,0,0
258.0,6,110.0,3632,18.0,74,16.0,0,0
225.0,6,105.0,3613,16.5,74,18.0,0,0
302.0,8,140.0,4141,14.0,74,16.0,0,0
350.0,8,150.0,4699,14.5,74,13.0,0,0
318.0,8,150.0,4457,13.5,74,14.0,0,0
302.0,8,140.0,4638,16.0,74,14.0,0,0
304.0,8,150.0,4257,15.5,74,14.0,0,0
98.0,4,83.0,2219,16.5,74,29.0,1,0
79.0,4,67.0,1963,15.5,74,26.0,1,0
97.0,4,78.0,2300,14.5,74,26.0,1,0
76.0,4,52.0,1649,16.5,74,31.0,0,1
83.0,4,61.0,2003,19.0,74,32.0,0,1
90.0,4,75.0,2125,14.5,74,28.0,0,0
90.0,4,75.0,2108,15.5,74,24.0,1,0
116.0,4,75.0,2246,14.0,74,26.0,1,0
120.0,4,97.0,2489,15.0,74,24.0,0,1
108.0,4,93.0,2391,15.5,74,26.0,0,1
79.0,4,67.0,2000,16.0,74,31.0,1,0
225.0,6,95.0,3264,16.0,75,19.0,0,0
250.0,6,105.0,3459,16.0,75,18.0,0,0
250.0,6,72.0,3432,21.0,75,15.0,0,0
250.0,6,72.0,3158,19.5,75,15.0,0,0
400.0,8,170.0,4668,11.5,75,16.0,0,0
350.0,8,145.0,4440,14.0,75,15.0,0,0
318.0,8,150.0,4498,14.5,75,16.0,0,0
351.0,8,148.0,4657,13.5,75,14.0,0,0
231.0,6,110.0,3907,21.0,75,17.0,0,0
250.0,6,105.0,3897,18.5,75,16.0,0,0
258.0,6,110.0,3730,19.0,75,15.0,0,0
225.0,6,95.0,3785,19.0,75,18.0,0,0
231.0,6,110.0,3039,15.0,75,21.0,0,0
262.0,8,110.0,3221,13.5,75,20.0,0,0
302.0,8,129.0,3169,12.0,75,13.0,0,0
97.0,4,75.0,2171,16.0,75,29.0,0,1
140.0,4,83.0,2639,17.0,75,23.0,0,0
232.0,6,100.0,2914,16.0,75,20.0,0,0
140.0,4,78.0,2592,18.5,75,23.0,0,0
134.0,4,96.0,2702,13.5,75,24.0,0,1
90.0,4,71.0,2223,16.5,75,25.0,1,0
119.0,4,97.0,2545,17.0,75,24.0,0,1
171.0,6,97.0,2984,14.5,75,18.0,0,0
90.0,4,70.0,1937,14.0,75,29.0,1,0
232.0,6,90.0,3211,17.0,75,19.0,0,0
115.0,4,95.0,2694,15.0,75,23.0,1,0
120.0,4,88.0,2957,17.0,75,23.0,1,0
121.0,4,98.0,2945,14.5,75,22.0,1,0
121.0,4,115.0,2671,13.5,75,25.0,1,0
91.0,4,53.0,1795,17.5,75,33.0,0,1
107.0,4,86.0,2464,15.5,76,28.0,1,0
116.0,4,81.0,2220,16.9,76,25.0,1,0
140.0,4,92.0,2572,14.9,76,25.0,0,0
98.0,4,79.0,2255,17.7,76,26.0,0,0
101.0,4,83.0,2202,15.3,76,27.0,1,0
305.0,8,140.0,4215,13.0,76,17.5,0,0
318.0,8,150.0,4190,13.0,76,16.0,0,0
304.0,8,120.0,3962,13.9,76,15.5,0,0
351.0,8,152.0,4215,12.8,76,14.5,0,0
225.0,6,100.0,3233,15.4,76,22.0,0,0
250.0,6,105.0,3353,14.5,76,22.0,0,0
200.0,6,81.0,3012,17.6,76,24.0,0,0
232.0,6,90.0,3085,17.6,76,22.5,0,0
85.0,4,52.0,2035,22.2,76,29.0,0,0
98.0,4,60.0,2164,22.1,76,24.5,0,0
90.0,4,70.0,1937,14.2,76,29.0,1,0
91.0,4,53.0,1795,17.4,76,33.0,0,1
225.0,6,100.0,3651,17.7,76,20.0,0,0
250.0,6,78.0,3574,21.0,76,18.0,0,0
250.0,6,110.0,3645,16.2,76,18.5,0,0
258.0,6,95.0,3193,17.8,76,17.5,0,0
97.0,4,71.0,1825,12.2,76,29.5,1,0
85.0,4,70.0,1990,17.0,76,32.0,0,1
97.0,4,75.0,2155,16.4,76,28.0,0,1
140.0,4,72.0,2565,13.6,76,26.5,0,0
130.0,4,102.0,3150,15.7,76,20.0,1,0
318.0,8,150.0,3940,13.2,76,13.0,0,0
120.0,4,88.0,3270,21.9,76,19.0,1,0
156.0,6,108.0,2930,15.5,76,19.0,0,1
168.0,6,120.0,3820,16.7,76,16.5,1,0
350.0,8,180.0,4380,12.1,76,16.5,0,0
350.0,8,145.0,4055,12.0,76,13.0,0,0
302.0,8,130.0,3870,15.0,76,13.0,0,0
318.0,8,150.0,3755,14.0,76,13.0,0,0
98.0,4,68.0,2045,18.5,77,31.5,0,1
111.0,4,80.0,2155,14.8,77,30.0,0,0
79.0,4,58.0,1825,18.6,77,36.0,1,0
122.0,4,96.0,2300,15.5,77,25.5,0,0
85.0,4,70.0,1945,16.8,77,33.5,0,1
305.0,8,145.0,3880,12.5,77,17.5,0,0
260.0,8,110.0,4060,19.0,77,17.0,0,0
318.0,8,145.0,4140,13.7,77,15.5,0,0
302.0,8,130.0,4295,14.9,77,15.0,0,0
250.0,6,110.0,3520,16.4,77,17.5,0,0
231.0,6,105.0,3425,16.9,77,20.5,0,0
225.0,6,100.0,3630,17.7,77,19.0,0,0
250.0,6,98.0,3525,19.0,77,18.5,0,0
400.0,8,180.0,4220,11.1,77,16.0,0,0
350.0,8,170.0,4165,11.4,77,15.5,0,0
400.0,8,190.0,4325,12.2,77,15.5,0,0
351.0,8,149.0,4335,14.5,77,16.0,0,0
97.0,4,78.0,1940,14.5,77,29.0,1,0
151.0,4,88.0,2740,16.0,77,24.5,0,0
97.0,4,75.0,2265,18.2,77,26.0,0,1
140.0,4,89.0,2755,15.8,77,25.5,0,0
98.0,4,63.0,2051,17.0,77,30.5,0,0
98.0,4,83.0,2075,15.9,77,33.5,0,0
97.0,4,67.0,1985,16.4,77,30.0,0,1
97.0,4,78.0,2190,14.1,77,30.5,1,0
146.0,6,97.0,2815,14.5,77,22.0,0,1
121.0,4,110.0,2600,12.8,77,21.5,1,0
80.0,3,110.0,2720,13.5,77,21.5,0,1
90.0,4,48.0,1985,21.5,78,43.1,1,0
98.0,4,66.0,1800,14.4,78,36.1,0,0
78.0,4,52.0,1985,19.4,78,32.8,0,1
85.0,4,70.0,2070,18.6,78,39.4,0,1
91.0,4,60.0,1800,16.4,78,36.1,0,1
260.0,8,110.0,3365,15.5,78,19.9,0,0
318.0,8,140.0,3735,13.2,78,19.4,0,0
302.0,8,139.0,3570,12.8,78,20.2,0,0
231.0,6,105.0,3535,19.2,78,19.2,0,0
200.0,6,95.0,3155,18.2,78,20.5,0,0
200.0,6,85.0,2965,15.8,78,20.2,0,0
140.0,4,88.0,2720,15.4,78,25.1,0,0
225.0,6,100.0,3430,17.2,78,20.5,0,0
232.0,6,90.0,3210,17.2,78,19.4,0,0
231.0,6,105.0,3380,15.8,78,20.6,0,0
200.0,6,85.0,3070,16.7,78,20.8,0,0
225.0,6,110.0,3620,18.7,78,18.6,0,0
258.0,6,120.0,3410,15.1,78,18.1,0,0
305.0,8,145.0,3425,13.2,78,19.2,0,0
231.0,6,165.0,3445,13.4,78,17.7,0,0
302.0,8,139.0,3205,11.2,78,18.1,0,0
318.0,8,140.0,4080,13.7,78,17.5,0,0
98.0,4,68.0,2155,16.5,78,30.0,0,0
134.0,4,95.0,2560,14.2,78,27.5,0,1
119.0,4,97.0,2300,14.7,78,27.2,0,1
105.0,4,75.0,2230,14.5,78,30.9,0,0
134.0,4,95.0,2515,14.8,78,21.1,0,1
156.0,4,105.0,2745,16.7,78,23.2,0,0
151.0,4,85.0,2855,17.6,78,23.8,0,0
119.0,4,97.0,2405,14.9,78,23.9,0,1
131.0,5,103.0,2830,15.9,78,20.3,1,0
163.0,6,125.0,3140,13.6,78,17.0,1,0
121.0,4,115.0,2795,15.7,78,21.6,1,0
163.0,6,133.0,3410,15.8,78,16.2,1,0
89.0,4,71.0,1990,14.9,78,31.5,1,0
98.0,4,68.0,2135,16.6,78,29.5,0,1
231.0,6,115.0,3245,15.4,79,21.5,0,0
200.0,6,85.0,2990,18.2,79,19.8,0,0
140.0,4,88.0,2890,17.3,79,22.3,0,0
232.0,6,90.0,3265,18.2,79,20.2,0,0
225.0,6,110.0,3360,16.6,79,20.6,0,0
305.0,8,130.0,3840,15.4,79,17.0,0,0
302.0,8,129.0,3725,13.4,79,17.6,0,0
351.0,8,138.0,3955,13.2,79,16.5,0,0
318.0,8,135.0,3830,15.2,79,18.2,0,0
350.0,8,155.0,4360,14.9,79,16.9,0,0
351.0,8,142.0,4054,14.3,79,15.5,0,0
267.0,8,125.0,3605,15.0,79,19.2,0,0
360.0,8,150.0,3940,13.0,79,18.5,0,0
89.0,4,71.0,1925,14.0,79,31.9,1,0
86.0,4,65.0,1975,15.2,79,34.1,0,1
98.0,4,80.0,1915,14.4,79,35.7,0,0
121.0,4,80.0,2670,15.0,79,27.4,0,0
183.0,5,77.0,3530,20.1,79,25.4,1,0
350.0,8,125.0,3900,17.4,79,23.0,0,0
141.0,4,71.0,3190,24.8,79,27.2,1,0
260.0,8,90.0,3420,22.2,79,23.9,0,0
105.0,4,70.0,2200,13.2,79,34.2,0,0
105.0,4,70.0,2150,14.9,79,34.5,0,0
85.0,4,65.0,2020,19.2,79,31.8,0,1
91.0,4,69.0,2130,14.7,79,37.3,1,0
151.0,4,90.0,2670,16.0,79,28.4,0,0
173.0,6,115.0,2595,11.3,79,28.8,0,0
173.0,6,115.0,2700,12.9,79,26.8,0,0
151.0,4,90.0,2556,13.2,79,33.5,0,0
98.0,4,76.0,2144,14.7,80,41.5,1,0
89.0,4,60.0,1968,18.8,80,38.1,0,1
98.0,4,70.0,2120,15.5,80,32.1,0,0
86.0,4,65.0,2019,16.4,80,37.2,0,1
151.0,4,90.0,2678,16.5,80,28.0,0,0
140.0,4,88.0,2870,18.1,80,26.4,0,0
151.0,4,90.0,3003,20.1,80,24.3,0,0
225.0,6,90.0,3381,18.7,80,19.1,0,0
97.0,4,78.0,2188,15.8,80,34.3,1,0
134.0,4,90.0,2711,15.5,80,29.8,0,1
120.0,4,75.0,2542,17.5,80,31.3,0,1
119.0,4,92.0,2434,15.0,80,37.0,0,1
108.0,4,75.0,2265,15.2,80,32.2,0,1
86.0,4,65.0,2110,17.9,80,46.6,0,1
156.0,4,105.0,2800,14.4,80,27.9,0,0
85.0,4,65.0,2110,19.2,80,40.8,0,1
90.0,4,48.0,2085,21.7,80,44.3,1,0
90.0,4,48.0,2335,23.7,80,43.4,1,0
121.0,5,67.0,2950,19.9,80,36.4,1,0
146.0,4,67.0,3250,21.8,80,30.0,1,0
91.0,4,67.0,1850,13.8,80,44.6,0,1
85.0,4,93.5,1835,17.3,80,40.9,1,0
97.0,4,67.0,2145,18.0,80,33.8,0,1
89.0,4,62.0,1845,15.3,80,29.8,1,0
168.0,6,132.0,2910,11.4,80,32.7,0,1
70.0,3,100.0,2420,12.5,80,23.7,0,1
122.0,4,88.0,2500,15.1,80,35.0,1,0
140.0,4,93.5,2905,14.3,80,23.6,0,0
107.0,4,72.0,2290,17.0,80,32.4,0,1
135.0,4,84.0,2490,15.7,81,27.2,0,0
151.0,4,84.0,2635,16.4,81,26.6,0,0
156.0,4,92.0,2620,14.4,81,25.8,0,0
173.0,6,110.0,2725,12.6,81,23.5,0,0
135.0,4,84.0,2385,12.9,81,30.0,0,0
79.0,4,58.0,1755,16.9,81,39.1,0,1
86.0,4,64.0,1875,16.4,81,39.0,0,0
81.0,4,60.0,1760,16.1,81,35.1,0,1
97.0,4,67.0,2065,17.8,81,32.3,0,1
85.0,4,65.0,1975,19.4,81,37.0,0,1
89.0,4,62.0,2050,17.3,81,37.7,0,1
91.0,4,68.0,1985,16.0,81,34.1,0,1
105.0,4,63.0,2215,14.9,81,34.7,0,0
98.0,4,65.0,2045,16.2,81,34.4,0,0
98.0,4,65.0,2380,20.7,81,29.9,0,0
105.0,4,74.0,2190,14.2,81,33.0,1,0
100.0,4,93.5,2320,15.8,81,34.5,1,0
107.0,4,75.0,2210,14.4,81,33.7,0,1
108.0,4,75.0,2350,16.8,81,32.4,0,1
119.0,4,100.0,2615,14.8,81,32.9,0,1
120.0,4,74.0,2635,18.3,81,31.6,0,1
141.0,4,80.0,3230,20.4,81,28.1,1,0
145.0,6,76.0,3160,19.6,81,30.7,1,0
168.0,6,116.0,2900,12.6,81,25.4,0,1
146.0,6,120.0,2930,13.8,81,24.2,0,1
231.0,6,110.0,3415,15.8,81,22.4,0,0
350.0,8,105.0,3725,19.0,81,26.6,0,0
200.0,6,88.0,3060,17.1,81,20.2,0,0
225.0,6,85.0,3465,16.6,81,17.6,0,0
112.0,4,88.0,2605,19.6,82,28.0,0,0
112.0,4,88.0,2640,18.6,82,27.0,0,0
112.0,4,88.0,2395,18.0,82,34.0,0,0
112.0,4,85.0,2575,16.2,82,31.0,0,0
135.0,4,84.0,2525,16.0,82,29.0,0,0
151.0,4,90.0,2735,18.0,82,27.0,0,0
140.0,4,92.0,2865,16.4,82,24.0,0,0
151.0,4,93.5,3035,20.5,82,23.0,0,0
105.0,4,74.0,1980,15.3,82,36.0,1,0
91.0,4,68.0,2025,18.2,82,37.0,0,1
91.0,4,68.0,1970,17.6,82,31.0,0,1
105.0,4,63.0,2125,14.7,82,38.0,0,0
98.0,4,70.0,2125,17.3,82,36.0,0,0
120.0,4,88.0,2160,14.5,82,36.0,0,1
107.0,4,75.0,2205,14.5,82,36.0,0,1
108.0,4,70.0,2245,16.9,82,34.0,0,1
91.0,4,67.0,1965,15.0,82,38.0,0,1
91.0,4,67.0,1965,15.7,82,32.0,0,1
91.0,4,67.0,1995,16.2,82,38.0,0,1
181.0,6,110.0,2945,16.4,82,25.0,0,0
262.0,6,85.0,3015,17.0,82,38.0,0,0
156.0,4,92.0,2585,14.5,82,26.0,0,0
232.0,6,112.0,2835,14.7,82,22.0,0,0
144.0,4,96.0,2665,13.9,82,32.0,0,1
135.0,4,84.0,2370,13.0,82,36.0,0,0
151.0,4,90.0,2950,17.3,82,27.0,0,0
140.0,4,86.0,2790,15.6,82,27.0,0,0
97.0,4,52.0,2130,24.6,82,44.0,1,0
135.0,4,84.0,2295,11.6,82,32.0,0,0
120.0,4,79.0,2625,18.6,82,28.0,0,0
119.0,4,82.0,2720,19.4,82,31.0,0,0
