displacement,cylinders,horsepower,weight,acceleration,model_year,origin_2,origin_3,mpg
97.0,4,78.0,2300,14.5,74,1,0,26.0
105.0,4,70.0,2150,14.9,79,0,0,34.5
225.0,6,105.0,3121,16.5,73,0,0,18.0
250.0,6,98.0,3525,19.0,77,0,0,18.5
350.0,8,155.0,4502,13.5,72,0,0,13.0
121.0,4,113.0,2234,12.5,70,1,0,26.0
232.0,6,100.0,3288,15.5,71,0,0,18.0
76.0,4,52.0,1649,16.5,74,0,1,31.0
121.0,4,110.0,2660,14.0,73,1,0,24.0
429.0,8,208.0,4633,11.0,72,0,0,11.0
318.0,8,140.0,3735,13.2,78,0,0,19.4
119.0,4,100.0,2615,14.8,81,0,1,32.9
89.0,4,71.0,1990,14.9,78,1,0,31.5
225.0,6,90.0,3381,18.7,80,0,0,19.1
200.0,6,81.0,3012,17.6,76,0,0,24.0
198.0,6,95.0,3102,16.5,74,0,0,20.0
90.0,4,75.0,2125,14.5,74,0,0,28.0
97.0,4,78.0,1940,14.5,77,1,0,29.0
304.0,8,150.0,3672,11.5,73,0,0,14.0
122.0,4,88.0,2500,15.1,80,1,0,35.0
97.0,4,71.0,1825,12.2,76,1,0,29.5
140.0,4,93.5,2905,14.3,80,0,0,23.6
318.0,8,145.0,4140,13.7,77,0,0,15.5
231.0,6,105.0,3380,15.8,78,0,0,20.6
105.0,4,70.0,2200,13.2,79,0,0,34.2
116.0,4,81.0,2220,16.9,76,1,0,25.0
121.0,5,67.0,2950,19.9,80,1,0,36.4
140.0,4,88.0,2890,17.3,79,0,0,22.3
120.0,4,88.0,3270,21.9,76,1,0,19.0
200.0,6,85.0,2990,18.2,79,0,0,19.8
79.0,4,67.0,1950,19.0,74,0,1,31.0
350.0,8,165.0,4209,12.0,71,0,0,14.0
340.0,8,160.0,3609,8.0,70,0,0,14.0
90.0,4,48.0,2335,23.7,80,1,0,43.4
98.0,4,79.0,2255,17.7,76,0,0,26.0
85.0,4,70.0,1945,16.8,77,0,1,33.5
122.0,4,85.0,2310,18.5,73,0,0,19.0
121.0,4,98.0,2945,14.5,75,1,0,22.0
119.0,4,97.0,2300,14.7,78,0,1,27.2
168.0,6,132.0,2910,11.4,80,0,1,32.7
68.0,4,49.0,1867,19.5,73,1,0,29.0
225.0,6,85.0,3465,16.6,81,0,0,17.6
151.0,4,93.5,3035,20.5,82,0,0,23.0
108.0,4,70.0,2245,16.9,82,0,1,34.0
302.0,8,129.0,3725,13.4,79,0,0,17.6
145.0,6,76.0,3160,19.6,81,1,0,30.7
231.0,6,110.0,3039,15.0,75,0,0,21.0
91.0,4,67.0,1995,16.2,82,0,1,38.0
302.0,8,140.0,4141,14.0,74,0,0,16.0
250.0,6,72.0,3432,21.0,75,0,0,15.0
225.0,6,100.0,3651,17.7,76,0,0,20.0
90.0,4,70.0,1937,14.2,76,1,0,29.0
144.0,4,96.0,2665,13.9,82,0,1,32.0
318.0,8,150.0,3436,11.0,70,0,0,18.0
85.0,4,70.0,1990,17.0,76,0,1,32.0
350.0,8,145.0,4082,13.0,73,0,0,15.0
351.0,8,149.0,4335,14.5,77,0,0,16.0
112.0,4,88.0,2395,18.0,82,0,0,34.0
307.0,8,200.0,4376,15.0,70,0,0,10.0
121.0,4,112.0,2868,15.5,73,1,0,19.0
151.0,4,90.0,2670,16.0,79,0,0,28.4
302.0,8,130.0,4295,14.9,77,0,0,15.0
97.0,4,67.0,2065,17.8,81,0,1,32.3
98.0,4,68.0,2155,16.5,78,0,0,30.0
140.0,4,88.0,2870,18.1,80,0,0,26.4
135.0,4,84.0,2385,12.9,81,0,0,30.0
232.0,6,100.0,2901,16.0,74,0,0,19.0
302.0,8,140.0,4294,16.0,72,0,0,13.0
108.0,4,75.0,2265,15.2,80,0,1,32.2
97.0,4,88.0,2130,14.5,71,0,1,27.0
98.0,4,80.0,2164,15.0,72,0,0,28.0
91.0,4,67.0,1850,13.8,80,0,1,44.6
232.0,6,100.0,2789,15.0,73,0,0,18.0
85.0,4,70.0,2070,18.6,78,0,1,39.4
140.0,4,88.0,2720,15.4,78,0,0,25.1
250.0,6,100.0,3781,17.0,74,0,0,16.0
90.0,4,48.0,1985,21.5,78,1,0,43.1
140.0,4,92.0,2572,14.9,76,0,0,25.0
350.0,8,155.0,4360,14.9,79,0,0,16.9
400.0,8,175.0,5140,12.0,71,0,0,13.0
200.0,6,88.0,3060,17.1,81,0,0,20.2
351.0,8,153.0,4129,13.0,72,0,0,14.0
119.0,4,92.0,2434,15.0,80,0,1,37.0
350.0,8,175.0,4100,13.0,73,0,0,13.0
121.0,4,110.0,2600,12.8,77,1,0,21.5
101.0,4,83.0,2202,15.3,76,1,0,27.0
351.0,8,148.0,4657,13.5,75,0,0,14.0
400.0,8,150.0,3761,9.5,70,0,0,15.0
250.0,6,100.0,3329,15.5,71,0,0,17.0
304.0,8,193.0,4732,18.5,70,0,0,9.0
140.0,4,78.0,2592,18.5,75,0,0,23.0
79.0,4,67.0,1963,15.5,74,1,0,26.0
97.0,4,78.0,2188,15.8,80,1,0,34.3
156.0,4,105.0,2745,16.7,78,0,0,23.2
305.0,8,145.0,3880,12.5,77,0,0,17.5
455.0,8,225.0,4951,11.0,73,0,0,12.0
79.0,4,70.0,2074,19.5,71,1,0,30.0
97.0,4,78.0,2190,14.1,77,1,0,30.5
183.0,5,77.0,3530,20.1,79,1,0,25.4
90.0,4,48.0,2085,21.7,80,1,0,44.3
120.0,4,88.0,2957,17.0,75,1,0,23.0
318.0,8,150.0,4096,13.0,71,0,0,14.0
89.0,4,62.0,1845,15.3,80,1,0,29.8
140.0,4,72.0,2565,13.6,76,0,0,26.5
200.0,6,85.0,2965,15.8,78,0,0,20.2
262.0,6,85.0,3015,17.0,82,0,0,38.0
302.0,8,140.0,3449,10.5,70,0,0,17.0
225.0,6,100.0,3430,17.2,78,0,0,20.5
108.0,4,75.0,2350,16.8,81,0,1,32.4
250.0,6,88.0,3021,16.5,73,0,0,18.0
231.0,6,105.0,3425,16.9,77,0,0,20.5
156.0,4,92.0,2620,14.4,81,0,0,25.8
350.0,8,145.0,4055,12.0,76,0,0,13.0
134.0,4,96.0,2702,13.5,75,0,1,24.0
250.0,6,100.0,3278,18.0,73,0,0,16.0
318.0,8,150.0,3755,14.0,76,0,0,13.0
122.0,4,86.0,2226,16.5,72,0,0,21.0
250.0,6,100.0,3282,15.0,71,0,0,19.0
98.0,4,93.5,2046,19.0,71,0,0,25.0
134.0,4,95.0,2560,14.2,78,0,1,27.5
250.0,6,78.0,3574,21.0,76,0,0,18.0
100.0,4,93.5,2320,15.8,81,1,0,34.5
318.0,8,210.0,4382,13.5,70,0,0,11.0
98.0,4,70.0,2120,15.5,80,0,0,32.1
350.0,8,170.0,4165,11.4,77,0,0,15.5
225.0,6,110.0,3620,18.7,78,0,0,18.6
318.0,8,135.0,3830,15.2,79,0,0,18.2
258.0,6,110.0,3730,19.0,75,0,0,15.0
135.0,4,84.0,2490,15.7,81,0,0,27.2
318.0,8,150.0,4457,13.5,74,0,0,14.0
350.0,8,165.0,4274,12.0,72,0,0,13.0
225.0,6,105.0,3613,16.5,74,0,0,18.0
250.0,6,100.0,3336,17.0,74,0,0,15.0
455.0,8,225.0,4425,10.0,70,0,0,14.0
318.0,8,150.0,4135,13.5,72,0,0,15.0
260.0,8,90.0,3420,22.2,79,0,0,23.9
113.0,4,95.0,2372,15.0,70,0,1,24.0
400.0,8,170.0,4668,11.5,75,0,0,16.0
351.0,8,153.0,4154,13.5,71,0,0,14.0
350.0,8,105.0,3725,19.0,81,0,0,26.6
86.0,4,65.0,2110,17.9,80,0,1,46.6
98.0,4,68.0,2045,18.5,77,0,1,31.5
98.0,4,68.0,2135,16.6,78,0,1,29.5
112.0,4,88.0,2640,18.6,82,0,0,27.0
140.0,4,89.0,2755,15.8,77,0,0,25.5
130.0,4,102.0,3150,15.7,76,1,0,20.0
350.0,8,180.0,4380,12.1,76,0,0,16.5
98.0,4,80.0,1915,14.4,79,0,0,35.7
146.0,6,120.0,2930,13.8,81,0,1,24.2
302.0,8,139.0,3570,12.8,78,0,0,20.2
156.0,4,92.0,2585,14.5,82,0,0,26.0
231.0,6,110.0,3415,15.8,81,0,0,22.4
85.0,4,65.0,2020,19.2,79,0,1,31.8
105.0,4,75.0,2230,14.5,78,0,0,30.9
250.0,6,110.0,3645,16.2,76,0,0,18.5
250.0,6,105.0,3897,18.5,75,0,0,16.0
400.0,8,170.0,4746,12.0,71,0,0,13.0
111.0,4,80.0,2155,14.8,77,0,0,30.0
351.0,8,152.0,4215,12.8,76,0,0,14.5
98.0,4,76.0,2144,14.7,80,1,0,41.5
200.0,6,85.0,3070,16.7,78,0,0,20.8
360.0,8,170.0,4654,13.0,73,0,0,13.0
71.0,4,65.0,1773,19.0,71,0,1,31.0
350.0,8,165.0,3693,11.5,70,0,0,15.0
122.0,4,86.0,2220,14.0,71,0,0,23.0
122.0,4,86.0,2395,16.0,72,0,0,22.0
97.0,4,75.0,2155,16.4,76,0,1,28.0
225.0,6,105.0,3439,15.5,71,0,0,16.0
231.0,6,165.0,3445,13.4,78,0,0,17.7
400.0,8,150.0,4464,12.0,73,0,0,13.0
151.0,4,84.0,2635,16.4,81,0,0,26.6
88.0,4,76.0,2065,14.5,71,1,0,30.0
302.0,8,139.0,3205,11.2,78,0,0,18.1
146.0,6,97.0,2815,14.5,77,0,1,22.0
455.0,8,225.0,3086,10.0,70,0,0,14.0
151.0,4,90.0,3003,20.1,80,0,0,24.3
302.0,8,137.0,4042,14.5,73,0,0,14.0
119.0,4,97.0,2405,14.9,78,0,1,23.9
302.0,8,129.0,3169,12.0,75,0,0,13.0
146.0,4,67.0,3250,21.8,80,1,0,30.0
135.0,4,84.0,2370,13.0,82,0,0,36.0
258.0,6,110.0,3632,18.0,74,0,0,16.0
173.0,6,115.0,2595,11.3,79,0,0,28.8
107.0,4,75.0,2205,14.5,82,0,1,36.0
120.0,4,75.0,2542,17.5,80,0,1,31.3
80.0,3,110.0,2720,13.5,77,0,1,21.5
72.0,4,69.0,1613,18.0,71,0,1,35.0
116.0,4,90.0,2123,14.0,71,1,0,28.0
171.0,6,97.0,2984,14.5,75,0,0,18.0
304.0,8,120.0,3962,13.9,76,0,0,15.5
135.0,4,84.0,2295,11.6,82,0,0,32.0
305.0,8,140.0,4215,13.0,76,0,0,17.5
232.0,6,100.0,2914,16.0,75,0,0,20.0
97.5,4,80.0,2126,17.0,72,0,0,25.0
250.0,6,88.0,3139,14.5,71,0,0,18.0
86.0,4,64.0,1875,16.4,81,0,0,39.0
97.0,4,75.0,2265,18.2,77,0,1,26.0
231.0,6,105.0,3535,19.2,78,0,0,19.2
107.0,4,90.0,2430,14.5,70,1,0,24.0
151.0,4,90.0,2678,16.5,80,0,0,28.0
231.0,6,110.0,3907,21.0,75,0,0,17.0
121.0,4,115.0,2795,15.7,78,1,0,21.6
225.0,6,100.0,3233,15.4,76,0,0,22.0
89.0,4,71.0,1925,14.0,79,1,0,31.9
79.0,4,58.0,1755,16.9,81,0,1,39.1
232.0,6,90.0,3210,17.2,78,0,0,19.4
151.0,4,90.0,2556,13.2,79,0,0,33.5
120.0,4,97.0,2489,15.0,74,0,1,24.0
122.0,4,80.0,2451,16.5,74,0,0,26.0
79.0,4,67.0,2000,16.0,74,1,0,31.0
141.0,4,80.0,3230,20.4,81,1,0,28.1
232.0,6,100.0,2945,16.0,73,0,0,18.0
151.0,4,90.0,2735,18.0,82,0,0,27.0
350.0,8,145.0,3988,13.0,73,0,0,13.0
85.0,4,93.5,1835,17.3,80,1,0,40.9
302.0,8,130.0,3870,15.0,76,0,0,13.0
318.0,8,150.0,3399,11.0,73,0,0,15.0
119.0,4,82.0,2720,19.4,82,0,0,31.0
110.0,4,87.0,2672,17.5,70,1,0,25.0
318.0,8,150.0,4190,13.0,76,0,0,16.0
70.0,3,97.0,2330,13.5,72,0,1,19.0
350.0,8,180.0,4499,12.5,73,0,0,12.0
134.0,4,95.0,2515,14.8,78,0,1,21.1
89.0,4,62.0,2050,17.3,81,0,1,37.7
97.0,4,46.0,1950,21.0,73,1,0,26.0
